code,term,term_clean,semantic_tag
362503005,Entire left eye (body structure),Entire left eye,body structure
362508001,"Both eyes, entire (body structure)","Both eyes, entire",body structure
362529005,Entire tarsal plate (body structure),Entire tarsal plate,body structure
362635002,Entire submental triangle (body structure),Entire submental triangle,body structure
362892003,Thyroid part (body structure),Thyroid part,body structure
362893008,Pituitary part (body structure),Pituitary part,body structure
362916000,Skin structure of eye region (body structure),Skin structure of eye region,body structure
362969004,Disorder of endocrine system (disorder),Disorder of endocrine system,disorder
362971004,Disorder of lymphatic system (disorder),Disorder of lymphatic system,disorder
362978005,Medical equipment or device education (procedure),Medical equipment or device education,procedure
363101005,Drug withdrawal (disorder),Drug withdrawal,disorder
363108004,Equipment-related management procedure (procedure),Equipment-related management procedure,procedure
363173007,Inflammatory disorder of cartilage (disorder),Inflammatory disorder of cartilage,disorder
363187007,Limb operation (procedure),Limb operation,procedure
363215001,Musculoskeletal system physical examination (procedure),Musculoskeletal system physical examination,procedure
363228008,Neoplasm of ear (disorder),Neoplasm of ear,disorder
363229000,Neoplasm of musculoskeletal system (disorder),Neoplasm of musculoskeletal system,disorder
363261001,Peripheral vascular complication of procedure (disorder),Peripheral vascular complication of procedure,disorder
363346000,Malignant neoplastic disease (disorder),Malignant neoplastic disease,disorder
363348004,Malignant tumor of lip (disorder),Malignant tumor of lip,disorder
363349007,Malignant tumor of stomach (disorder),Malignant tumor of stomach,disorder
363350007,Malignant tumor of cecum (disorder),Malignant tumor of cecum,disorder
363351006,Malignant tumor of rectum (disorder),Malignant tumor of rectum,disorder
363352004,Malignant tumor of anal canal (disorder),Malignant tumor of anal canal,disorder
363353009,Malignant tumor of gallbladder (disorder),Malignant tumor of gallbladder,disorder
363354003,Malignant tumor of cervix (disorder),Malignant tumor of cervix,disorder
363358000,Malignant tumor of lung (disorder),Malignant tumor of lung,disorder
363360003,Malignant tumor of anterior two-thirds of tongue (disorder),Malignant tumor of anterior two-thirds of tongue,disorder
363364007,Malignant tumor of soft tissue of hip (disorder),Malignant tumor of soft tissue of hip,disorder
363367000,Malignant tumor of vulva (disorder),Malignant tumor of vulva,disorder
363375006,Malignant tumor of tongue (disorder),Malignant tumor of tongue,disorder
363379000,Malignant tumor of parotid gland (disorder),Malignant tumor of parotid gland,disorder
363385007,Malignant tumor of floor of mouth (disorder),Malignant tumor of floor of mouth,disorder
363390005,Malignant tumor of palate (disorder),Malignant tumor of palate,disorder
363392002,Malignant tumor of oropharynx (disorder),Malignant tumor of oropharynx,disorder
363393007,Malignant tumor of tonsil (disorder),Malignant tumor of tonsil,disorder
363399006,Malignant tumor of hypopharynx (disorder),Malignant tumor of hypopharynx,disorder
363402007,Malignant tumor of esophagus (disorder),Malignant tumor of esophagus,disorder
363403002,Malignant tumor of duodenum (disorder),Malignant tumor of duodenum,disorder
363406005,Malignant neoplasm of colon (disorder),Malignant neoplasm of colon,disorder
363407001,Malignant tumor of hepatic flexure (disorder),Malignant tumor of hepatic flexure,disorder
363408006,Malignant tumor of transverse colon (disorder),Malignant tumor of transverse colon,disorder
363409003,Malignant tumor of descending colon (disorder),Malignant tumor of descending colon,disorder
363410008,Malignant tumor of sigmoid colon (disorder),Malignant tumor of sigmoid colon,disorder
363411007,Malignant neoplasm of appendix (disorder),Malignant neoplasm of appendix,disorder
363412000,Malignant tumor of ascending colon (disorder),Malignant tumor of ascending colon,disorder
363413005,Malignant tumor of splenic flexure (disorder),Malignant tumor of splenic flexure,disorder
363414004,Malignant tumor of rectosigmoid junction (disorder),Malignant tumor of rectosigmoid junction,disorder
363418001,Malignant tumor of pancreas (disorder),Malignant tumor of pancreas,disorder
363419009,Malignant tumor of head of pancreas (disorder),Malignant tumor of head of pancreas,disorder
363422006,Malignant tumor of nasal cavity (disorder),Malignant tumor of nasal cavity,disorder
363425008,Malignant tumor of maxillary sinus (disorder),Malignant tumor of maxillary sinus,disorder
363429002,Malignant tumor of larynx (disorder),Malignant tumor of larynx,disorder
363432004,Malignant tumor of trachea (disorder),Malignant tumor of trachea,disorder
363433009,Malignant tumor of pleura (disorder),Malignant tumor of pleura,disorder
363443007,Malignant tumor of ovary (disorder),Malignant tumor of ovary,disorder
363445000,Malignant tumor of vagina (disorder),Malignant tumor of vagina,disorder
363449006,Malignant tumor of testis (disorder),Malignant tumor of testis,disorder
363457009,Malignant tumor of renal pelvis (disorder),Malignant tumor of renal pelvis,disorder
363458004,Malignant tumor of ureter (disorder),Malignant tumor of ureter,disorder
363459007,Malignant tumor of urethra (disorder),Malignant tumor of urethra,disorder
363461003,Malignant tumor of eye (disorder),Malignant tumor of eye,disorder
363475005,Malignant tumor of spinal cord (disorder),Malignant tumor of spinal cord,disorder
363478007,Malignant tumor of thyroid gland (disorder),Malignant tumor of thyroid gland,disorder
363489000,Malignant tumor of neck (disorder),Malignant tumor of neck,disorder
363492001,Malignant tumor of peritoneum (disorder),Malignant tumor of peritoneum,disorder
363493006,Malignant tumor of bronchus (disorder),Malignant tumor of bronchus,disorder
363494000,Malignant tumor of mediastinum (disorder),Malignant tumor of mediastinum,disorder
363501002,Malignant tumor of face (disorder),Malignant tumor of face,disorder
363505006,Malignant tumor of oral cavity (disorder),Malignant tumor of oral cavity,disorder
363506007,Malignant tumor of nasal sinuses (disorder),Malignant tumor of nasal sinuses,disorder
363507003,Malignant neoplasm of pharynx (disorder),Malignant neoplasm of pharynx,disorder
363508008,Malignant tumor of intestine (disorder),Malignant tumor of intestine,disorder
363510005,Malignant tumor of large intestine (disorder),Malignant tumor of large intestine,disorder
363514001,Malignant tumor of female genital organ (disorder),Malignant tumor of female genital organ,disorder
363515000,Malignant tumor of male genital organ (disorder),Malignant tumor of male genital organ,disorder
